# severity <TAB> label <TAB> regex
#
# Severity drives the response, not just the sort order:
#   CRITICAL - credential that grants access if live. Triggers the halt
#              protocol in bin/scan-secrets.sh.
#   HIGH     - credential-shaped and usually real, but scope varies.
#   MEDIUM   - generic assignment. High false-positive rate by design; the
#              cost of missing a real key exceeds the cost of triage.
#   INFO     - public by design. Present so they are recognised and NOT
#              reported as leaks. A publishable key filed as a breach burns
#              client trust and buries the findings that matter.
CRITICAL	Stripe secret key (live)	sk_live_[0-9a-zA-Z]{16,}
CRITICAL	Stripe restricted key (live)	rk_live_[0-9a-zA-Z]{16,}
CRITICAL	Shopify admin API token	shpat_[0-9a-fA-F]{32}
CRITICAL	Shopify shared secret	shpss_[0-9a-fA-F]{32}
CRITICAL	AWS access key id	(AKIA|ASIA)[0-9A-Z]{16}
CRITICAL	GitHub token	gh[pousr]_[0-9A-Za-z]{36}
CRITICAL	Slack token	xox[baprs]-[0-9A-Za-z-]{12,}
CRITICAL	Private key block	-----BEGIN [A-Z ]{0,20}PRIVATE KEY-----
CRITICAL	SendGrid API key	SG\.[0-9A-Za-z_-]{16,}\.[0-9A-Za-z_-]{16,}
CRITICAL	Twilio API key	SK[0-9a-f]{32}
HIGH	Stripe secret key (test)	sk_test_[0-9a-zA-Z]{16,}
HIGH	Google API key	AIza[0-9A-Za-z_-]{35}
HIGH	Google OAuth access token	ya29\.[0-9A-Za-z_-]{20,}
HIGH	JSON Web Token	eyJ[A-Za-z0-9_-]{8,}\.eyJ[A-Za-z0-9_-]{8,}\.[A-Za-z0-9_-]{8,}
HIGH	Mailgun API key	key-[0-9a-f]{32}
HIGH	CoinGecko API key	CG-[0-9A-Za-z]{20,}
HIGH	Segment write key	(?i)write[_-]?key["'\s:=]{1,6}["'][0-9A-Za-z]{20,}["']
HIGH	Plaid secret	(?i)plaid[_-]?secret["'\s:=]{1,6}["'][0-9a-f]{24,}["']
HIGH	Market data vendor key	(?i)(coinmarketcap|cmc|polygon|finnhub|alphavantage|alpha[_-]?vantage|tradier|twelvedata|kraken|binance|coinbase)[_-]?(pro[_-]?)?(api[_-]?)?(key|secret)["'\s:=]{1,6}["'][0-9A-Za-z_-]{16,}["']
HIGH	Wallet seed phrase	(?i)(mnemonic|seed[_-]?phrase|recovery[_-]?phrase)["'\s:=]{1,6}["'][a-z]{3,}( [a-z]{3,}){10,}["']
# No leading \b: real config is camelCase (apiSecret, clientSecret, authToken)
# and a word boundary before "secret" never matches inside "apiSecret".
MEDIUM	Generic assigned secret	(?i)(api[_-]?key|apikey|secret|token|password|passwd|bearer|auth[_-]?token|private[_-]?key|access[_-]?key|client[_-]?secret)["'\s]{0,4}[:=]\s{0,4}["'][^"']{16,}["']
INFO	Stripe publishable key (public by design)	pk_(live|test)_[0-9a-zA-Z]{16,}
INFO	Sentry DSN (public by design)	https://[0-9a-f]{16,}@[0-9a-z.-]*ingest[0-9a-z.-]*sentry\.io/[0-9]+
INFO	Firebase web config (public by design)	[a-z0-9-]+\.firebaseapp\.com
